,OBJECTID,NAME,NAME_AR,STOP_NUMBER,longitude,latitude
2512,280575,37th St  / Shakhboot Bin Sultan Mosque,شارع 37 / مسجد شخبوط بن سلطان,43145,55.524983055999996,24.215998888
2513,280576,St 16 / AD Cable Factory,شارع 16 / مصنع كوابل أبوظبي,11184,54.476703887999975,24.34462111099998
2514,280577,Al Ain St / NBAD,ش العين / بنك ابوظبي الاول,94546,55.763226943999996,24.179146944000024
2515,280578,Saif Ghobash St / Zayed Sports Stadium,شارع سيف غباش / استاد مدينة زايد الرياضية,2479,54.457463055999995,24.418681111000012
2516,280579,St 20 / St 14,شارع  20 /  شارع 14,1029,54.37394805600002,24.52117611
2517,280580,E15-Ubaid Market,ش 15 - محلات عبيد,80486,52.905701110999985,23.702983055000004
2518,280581,Tawam St / Autism Unit,شارع توام / وحدة التوحد,93712,55.66689694399997,24.170386943999972
2519,280582,Tawam St 144 / Faculty of Medicine,شارع توام  144  / كلية الطب,93702,55.65390694500002,24.197716110999977
2520,280583,E15-Al Madeena Super Market,سوبر ماركت المدينة شارع 15,80404,52.766251943999976,24.035563887000023
2521,280584,St 79 / Mazyad Mall,شارع 79 / مزيد مول,10512,54.53740499999998,24.37411111099999
2522,280585,Al Bandar,البندر,16800,54.600660000000005,24.447690000000023
2523,280586,Service Rd  / Al Ain Central Bus Station,ش الخدمة / محطة حافلات العين,90888,55.77135694399999,24.219643055000006
2524,280587,Khalifa Ibn Zayed St 135 / Union National Bank,شارع خليفة بن زايد 135 / بنك الإتحاد الوطني,90236,55.76140305500002,24.225115000000017
2525,280588,Service Rd  / Souq,شارع خدمات / سوق,42073,55.47732388899999,24.213613887999998
